x,y,z,vx,vy,vz,mass
-4.673051851760017e+01,-1.729731409752983e+01,1.881369888003669e+01,-7.751331773344869e-02,-2.937348614115436e-01,-2.498715491161440e-01,1.636558524163700e+00
3.622723079131509e+01,-1.956905589906488e+01,-4.768974622901819e+01,-1.350072909826939e-01,2.653809822272397e-01,-1.821397368224814e-01,1.135728392813228e+00
-3.927451798911659e+01,2.613180910730271e+01,-4.158950120024390e+01,5.095620857494809e-02,6.465188901932506e-02,2.432705070452585e-01,1.981760149813145e+00
-2.804117895405597e+01,-4.505176888318889e+00,2.093948562441203e+00,7.384172813090134e-02,5.523104013010888e-02,2.285462551433405e-01,1.628873940850084e+00
2.994241112069203e+01,8.785261936140293e+00,-2.205795402709395e+01,3.295980783668391e-01,4.136800267081083e-01,4.654021426292505e-01,1.252084760112727e+00
-3.752191597127889e+01,-2.842975447041602e+01,3.927789564742866e+01,4.835675461791261e-01,1.718622475325450e-02,4.135672197516460e-01,1.348560254717507e+00
-2.185396689191177e+01,-2.636515270118208e+01,-1.505174316469344e+00,-1.106875355035893e-01,4.920990551349509e-01,6.596093045631145e-02,1.940268673440567e+00
5.950695105106961e+00,-1.881322894677135e+01,4.214356512415561e+01,2.756007373220843e-01,2.636273577094740e-01,-5.931715469350384e-02,1.349442464927883e+00
-1.849917369149093e+01,-3.282414507366392e+01,4.758472342182137e+01,-3.850134722252757e-01,2.529449192129377e-01,-2.469171560303549e-01,1.944584606189553e+00
1.694906470059901e+01,-2.821748579928942e+01,-3.074775076665049e+01,2.865701107076026e-01,-6.598442021074243e-02,-4.146873502726920e-01,1.770137656373036e+00
4.485394945288525e+01,4.961829429866400e+01,-3.802722237933985e+01,-2.662309896641516e-01,-2.696926481743612e-01,1.029865581879626e-01,1.623081474855114e+00
-2.748020199729822e+01,-3.312707221300437e+01,6.320393753141500e+00,2.791573502446240e-01,-2.182107435203717e-02,-1.462102987302055e-02,1.554758087058905e+00
-2.575870699492884e+01,4.220147246988933e+01,4.080257215640864e+01,6.066468107157806e-02,-4.047090849311706e-01,3.825169576957346e-01,1.675651208812209e+00
3.483844425867627e+01,-3.658593507437232e+01,1.234048663397554e+01,1.486078015225410e-02,-1.459152123350095e-01,3.169051803582824e-01,1.301430890476997e+00
2.904933890258499e+01,4.062288070146232e+01,-4.315287885748540e+01,2.393021712381871e-01,4.010976994168531e-01,-3.097335424530150e-01,1.973071181668467e+00
-3.700568344975887e+01,2.978750211430567e+01,9.274768456233170e+00,-1.461885424700620e-01,4.622005046632422e-01,-3.404971961379765e-01,1.132968807189245e+00
-5.779871305563690e+00,1.455912104016648e+01,1.886461691758679e+01,1.821857130870093e-01,7.094358954420231e-02,9.192744617829046e-02,1.242850393635617e+00
1.663792086025325e+01,-2.445515441679264e+00,4.188889766125479e+01,1.447033950275937e-02,1.100442049213668e-01,3.873741642720505e-02,1.029331119279066e+00
4.666512865667157e+01,-1.467787993100633e+01,-1.702146846778230e+01,2.522293596820868e-01,-2.421395735227686e-01,-9.766944338276316e-02,1.491531531089699e+00
-3.431382427678328e+01,9.145551484839599e+00,-3.978973402394719e+00,-2.096368235342052e-01,-1.141499698323078e-01,-4.392446316410363e-01,1.644174633847631e+00
-1.490651659359338e+01,-2.760904278235899e+01,2.767921443893409e+01,2.884299642589287e-01,3.651399472650869e-01,-3.512966479133189e-02,1.470615677289020e+00
-6.789328325668624e+00,-4.428897966288296e+01,2.147857476580623e+01,-3.976819589127700e-01,3.124218518423022e-02,1.319676733153719e-01,1.616788380600879e+00
-3.626594562069263e+01,-3.290314337114282e+01,1.508883149808587e+01,-3.945846174626837e-01,2.634768638460520e-02,4.768815100815157e-01,1.857644742288461e+00
2.886397751433736e+01,-1.160698429499965e+01,-1.476859372307012e+01,4.431662381512658e-01,4.718090807912533e-01,3.137789856893214e-01,1.233529414159027e+00
-1.402837930503155e+01,3.704822792834241e+01,3.792525228921605e+01,2.057096449510954e-01,-4.052074737929080e-01,1.548474885214738e-01,1.494139609157173e+00
4.588926335672043e+01,-3.835170200830791e+01,4.665375000149312e+01,-1.039839902594104e-01,-3.234843945788595e-01,1.782213568427703e-01,1.498334050876244e+00
2.112482322407036e+01,-1.900020289908893e+01,-3.822651492088361e+01,3.490441803649192e-01,-1.910588027456326e-02,2.612419314497905e-01,1.954459562876476e+00
-4.898436952632267e+01,2.342967960653230e+01,3.087171109408433e+01,2.914499184224609e-01,-3.826644927855086e-01,-3.387194224302271e-01,1.734616156078231e+00
-4.113873754562032e+01,4.785555024551284e+01,4.716040664146911e+01,-5.319630142436227e-02,3.495939172348576e-01,3.458496177092273e-01,1.152513342980535e+00
4.484296327329242e+01,1.901255187925748e-01,1.477670345186348e+01,4.043189169565910e-01,1.204149297369437e-01,1.114082380665857e-01,1.300334926368825e+00
2.969774183917509e+01,-2.093722187279286e+01,3.028068913320103e+01,4.688325532501917e-03,9.981862489702285e-02,4.137914086663587e-01,1.353732505512299e+00
-4.234077104308086e+01,1.741649078852545e+01,-1.956049678801634e+01,-4.120454502706709e-01,-8.684321940753058e-02,-3.797036268761028e-01,1.879404467940053e+00
3.168865660045225e+00,-2.208566841601141e+01,1.148422854857413e+01,1.196368758539570e-01,-2.433634859707547e-01,8.216619329972050e-02,1.066440573924426e+00
-3.982634004406985e+01,-6.769706019276207e+00,-2.773900143991428e+01,-4.493831261079765e-01,4.287129171539570e-01,3.656068697014566e-01,1.954935790949937e+00
4.758843009479817e+00,-2.031844581726009e+00,-2.491898862056617e+01,-1.539416185846943e-01,2.666447021827158e-01,-4.460603058514461e-01,1.850746706989941e+00
-1.340649122693186e+01,4.691587472441785e+01,-2.953940751588690e+01,-5.282392889437394e-02,1.427644423304951e-01,1.267128048446567e-02,1.535130621183259e+00
-4.432146418499924e+01,1.371130995601062e+01,-9.017935422027243e+00,8.641351099063596e-02,4.145446046607212e-01,-4.714442877955919e-01,1.206050386282639e+00
-3.310447663140265e+01,1.061092826961592e+01,-2.275945910169570e+01,-2.225884509202929e-01,-4.612622838376652e-01,-8.555122382957411e-03,1.328028422933085e+00
4.676164179534233e+01,-1.396075848417188e+01,-2.166534368093424e+01,1.657847885909976e-02,3.340668538034572e-01,3.823493079027789e-02,1.862636860396078e+00
1.053833047953184e+01,9.277368211080539e+00,2.175621947143674e+01,4.671748829640678e-01,5.990572764781479e-02,4.178627793792511e-01,1.414350953611709e+00
-2.997439164502049e+01,-7.383092348870382e+00,4.481217414289607e+01,-2.414086072949867e-01,-4.364982870950403e-01,-1.359833366529382e-01,1.845004904011732e+00
4.745385919272069e+01,-1.123946815296828e+01,-4.507092476659163e+01,-3.507725647797761e-01,-4.967057192469638e-01,-1.764537494275953e-01,1.426638984320052e+00
-4.628731768004119e+01,3.117115568212737e+01,2.500437234596913e+01,-4.905173702908484e-01,-3.279571258040508e-01,-4.623683793575057e-01,1.526061109046480e+00
-4.928220596148415e+01,7.254696363464816e+00,-1.152812156640742e+01,1.068212836318676e-01,-3.319588237672259e-01,-3.979184640915996e-01,1.573996166034600e+00
2.322530746353034e+01,-4.805509014030768e+01,4.927254070559741e+01,4.306170739643663e-01,-4.952162569175501e-02,4.378286943604234e-01,1.189208466182094e+00
1.390035117457076e+00,-1.962104652407947e+01,-4.699339436710743e+01,-7.973595763369585e-03,1.944177331034388e-01,-4.147313398713397e-01,1.641253839545536e+00
2.001094544001287e+01,-9.394702909442138e+00,-4.288815742884173e+01,2.397440111366397e-01,-2.761939618194152e-01,3.225602312089346e-01,1.749226641258796e+00
-1.051315012294659e+01,3.595524358208661e+01,-2.230723929720122e+01,-9.804136006421542e-02,-6.394159686661313e-02,1.639857188583023e-01,1.008779923435664e+00
1.024200447356165e+01,2.689273704092363e+01,8.348732156133673e+00,-1.679535166911860e-01,2.860115695256817e-01,7.112320909836890e-02,1.262663556850824e+00
-2.610053558858538e+01,1.205987616771478e+00,-4.826712256908653e+00,2.504700310027143e-01,3.107972609875785e-01,-1.391460675997510e-02,1.242496435177744e+00
2.244264156238972e-01,7.615574288692248e+00,3.882667057087010e+01,-2.970729920944395e-01,4.801689637551411e-01,4.516430984965709e-01,1.942671019091583e+00
-2.950267594165403e+01,2.755472810473531e+01,1.965695139817611e+01,9.982391386949269e-02,1.343951805202162e-01,4.671854096847419e-01,1.001782553736950e+00
-4.278008846015246e+01,1.301435123687430e+01,-4.885041371605318e+01,1.745531637634418e-01,-1.027616172081723e-01,9.333856672554247e-02,1.006599646530393e+00
-3.175526486811307e+01,-3.338040874470679e+01,-2.285254438795660e+01,-8.026010377022148e-02,1.734136793782252e-01,2.211352273659475e-01,1.170209926632331e+00
-1.089480082319184e+00,-2.899936331548865e+01,-8.932907182454931e+00,4.894259339034614e-01,2.785746738918857e-01,-2.035433634583801e-01,1.192352941349313e+00
2.633708235194633e+01,-2.566772347087620e+01,-3.617068233554076e+01,4.627186390294328e-01,-4.776969364922532e-01,3.269216204133121e-01,1.562542552390388e+00
1.589697622757067e+01,2.933598116309304e+01,6.507398196021025e+00,2.271518277191345e-01,-7.472184192781180e-02,7.488758327476708e-02,1.401704990957726e+00
3.175742058418103e+01,-3.334469707998195e+01,-8.991968362809516e+00,-4.942335072587598e-01,-1.673120742326343e-01,1.775678418236583e-01,1.425506388966696e+00
-4.939952700015424e+01,-1.002376944315898e+01,9.080054283874290e+00,-9.687455485064046e-03,1.059236888032793e-01,-4.915773225977568e-01,1.479738478306559e+00
-1.190692178643810e+01,-1.945908955714429e+01,1.751625734566555e+01,-3.567580007132503e-01,5.297904862115369e-02,3.071153800601935e-01,1.105960637846012e+00
7.260191559199590e+00,1.333184407223844e+01,1.658314731998681e+01,-2.680196439989200e-01,-7.185597000633839e-02,-2.671717036701025e-01,1.959132183789803e+00
3.551815754171614e+01,3.124752999595998e+01,-1.364714071253616e+01,1.759387284928250e-01,4.759420295743066e-01,2.691418127194873e-01,1.681705221851219e+00
-1.932227295627780e+01,-4.983621873651399e+00,-3.907591103831184e+01,-1.852684405821063e-01,3.454127227191006e-01,2.029279265075528e-01,1.805044104254359e+00
-4.530524122538757e+00,2.065129034691724e+01,-2.106486778870419e+01,3.358347736549424e-01,-4.837700822740383e-01,4.568740017886881e-01,1.979076772918495e+00
6.565387761695494e+00,2.629696456657773e+01,-4.124271836954062e+01,-3.555089216397708e-01,-1.019736182286614e-01,2.535406006107909e-01,1.376471434429507e+00
3.279663378058942e+01,4.893097446640898e+01,-1.624319738508576e+01,1.795925994438415e-01,2.940847764583318e-01,1.964407929994051e-01,1.355531327591991e+00
